,value,component,exp,Time
45,-3.5812678333968506e-07,y-moist,real,2000-01-01 05:00:00
46,8.078433211267111e-08,y-moist,real,2000-01-01 05:00:00
47,-3.09761588823676e-07,y-moist,real,2000-01-01 05:00:00
48,-5.006299730325736e-08,y-moist,real,2000-01-01 05:00:00
0,8.085103782153205e-07,z-moist,real,2000-01-01 05:00:00
1,1.409694315170091e-07,z-moist,real,2000-01-01 05:00:00
2,1.3513001318596586e-06,z-moist,real,2000-01-01 05:00:00
3,-2.6771386855435147e-07,z-moist,real,2000-01-01 05:00:00
4,-5.881116936230867e-08,z-moist,real,2000-01-01 05:00:00
5,-8.818448102691128e-07,z-moist,real,2000-01-01 05:00:00
6,-1.7738756664757487e-06,z-moist,real,2000-01-01 05:00:00
7,-7.933617239417154e-07,z-moist,real,2000-01-01 05:00:00
8,-6.5258082261757e-07,z-moist,real,2000-01-01 05:00:00
9,-6.773750020686207e-07,z-moist,real,2000-01-01 05:00:00
10,-7.906715721599286e-07,z-moist,real,2000-01-01 05:00:00
11,-1.3333800192804464e-07,z-moist,real,2000-01-01 05:00:00
12,-1.099927548342679e-06,z-moist,real,2000-01-01 05:00:00
13,-9.331754202471127e-07,z-moist,real,2000-01-01 05:00:00
14,-1.0521865090284543e-06,z-moist,real,2000-01-01 05:00:00
15,-1.65365606876491e-06,z-moist,real,2000-01-01 05:00:00
16,-1.5877495236883435e-06,z-moist,real,2000-01-01 05:00:00
17,-9.356622136186195e-07,z-moist,real,2000-01-01 05:00:00
18,-1.3308219399444664e-06,z-moist,real,2000-01-01 05:00:00
19,-2.841753413594222e-06,z-moist,real,2000-01-01 05:00:00
20,-2.5738658430644227e-06,z-moist,real,2000-01-01 05:00:00
21,-1.9431551859442946e-06,z-moist,real,2000-01-01 05:00:00
22,-2.1260862439116345e-06,z-moist,real,2000-01-01 05:00:00
23,-3.641318895299978e-06,z-moist,real,2000-01-01 05:00:00
24,-3.8015868373309508e-06,z-moist,real,2000-01-01 05:00:00
25,-2.877261855085439e-06,z-moist,real,2000-01-01 05:00:00
26,-3.267490434684331e-06,z-moist,real,2000-01-01 05:00:00
27,-2.4739817916592467e-06,z-moist,real,2000-01-01 05:00:00
28,-3.509304804515235e-06,z-moist,real,2000-01-01 05:00:00
29,-3.3054601023846036e-06,z-moist,real,2000-01-01 05:00:00
30,-3.3392040412637253e-06,z-moist,real,2000-01-01 05:00:00
31,-3.565523973842965e-06,z-moist,real,2000-01-01 05:00:00
32,-4.013551729200762e-06,z-moist,real,2000-01-01 05:00:00
33,-3.2279286769372e-06,z-moist,real,2000-01-01 05:00:00
34,-3.1687286859260328e-06,z-moist,real,2000-01-01 05:00:00
35,-2.0324591476517387e-06,z-moist,real,2000-01-01 05:00:00
36,-2.1935033883097805e-06,z-moist,real,2000-01-01 05:00:00
37,-3.272215423138836e-06,z-moist,real,2000-01-01 05:00:00
38,-2.6529725593856617e-06,z-moist,real,2000-01-01 05:00:00
39,-3.168824470684498e-06,z-moist,real,2000-01-01 05:00:00
40,-2.548857768879661e-06,z-moist,real,2000-01-01 05:00:00
41,-1.2760793295087693e-06,z-moist,real,2000-01-01 05:00:00
42,-1.39761500980092e-06,z-moist,real,2000-01-01 05:00:00
43,-1.0986550846667607e-06,z-moist,real,2000-01-01 05:00:00
44,-3.8841986863673487e-07,z-moist,real,2000-01-01 05:00:00
45,2.535414820112571e-07,z-moist,real,2000-01-01 05:00:00
46,-4.6665365424573043e-07,z-moist,real,2000-01-01 05:00:00
47,-1.9083971075147767e-07,z-moist,real,2000-01-01 05:00:00
48,-3.1305288400831103e-07,z-moist,real,2000-01-01 05:00:00
0,0.0,x-moist,stable,2000-01-01 05:00:00
1,2.1734117977567635e-11,x-moist,stable,2000-01-01 05:00:00
2,4.462119562731459e-11,x-moist,stable,2000-01-01 05:00:00
3,8.335387935431982e-11,x-moist,stable,2000-01-01 05:00:00
4,-9.736094153112163e-10,x-moist,stable,2000-01-01 05:00:00
5,-5.945478553925909e-10,x-moist,stable,2000-01-01 05:00:00
6,4.191159774791231e-08,x-moist,stable,2000-01-01 05:00:00
7,-8.52405879214757e-09,x-moist,stable,2000-01-01 05:00:00
8,2.5530459879519185e-07,x-moist,stable,2000-01-01 05:00:00
9,-3.203092262538121e-07,x-moist,stable,2000-01-01 05:00:00
10,2.0761408592306907e-08,x-moist,stable,2000-01-01 05:00:00
11,-6.306233046871057e-08,x-moist,stable,2000-01-01 05:00:00
12,-5.351021172828041e-07,x-moist,stable,2000-01-01 05:00:00
13,-3.642656452029769e-07,x-moist,stable,2000-01-01 05:00:00
14,-1.598967571680987e-07,x-moist,stable,2000-01-01 05:00:00
15,-3.1657523891226447e-07,x-moist,stable,2000-01-01 05:00:00
16,-7.388587164314231e-07,x-moist,stable,2000-01-01 05:00:00
17,1.4557912209056667e-07,x-moist,stable,2000-01-01 05:00:00
18,5.652544814438443e-07,x-moist,stable,2000-01-01 05:00:00
19,-2.1288167673105818e-08,x-moist,stable,2000-01-01 05:00:00
20,-6.997036621214647e-07,x-moist,stable,2000-01-01 05:00:00
21,-3.211306065509234e-08,x-moist,stable,2000-01-01 05:00:00
