,real_10,real_50,real_100,real_500,real_1000,real_1500,real_2000,real_2500,real_3000,real_3500,real_4000,real_5000,stable_10,stable_50,stable_100,stable_500,stable_1000,stable_1500,stable_2000,stable_2500,stable_3000,stable_3500,stable_4000,stable_5000,neutstab_10,neutstab_50,neutstab_100,neutstab_500,neutstab_1000,neutstab_1500,neutstab_2000,neutstab_2500,neutstab_3000,neutstab_3500,neutstab_4000,neutstab_5000,logT_10,logT_50,logT_100,logT_500,logT_1000,logT_1500,logT_2000,logT_2500,logT_3000,logT_3500,logT_4000,logT_5000,low_step_10,low_step_50,low_step_100,low_step_500,low_step_1000,low_step_1500,low_step_2000,low_step_2500,low_step_3000,low_step_3500,low_step_4000,low_step_5000,high_step_10,high_step_50,high_step_100,high_step_500,high_step_1000,high_step_1500,high_step_2000,high_step_2500,high_step_3000,high_step_3500,high_step_4000,high_step_5000
11,421.6793131828308,461.0127592086792,479.24509286880493,555.3975582122803,680.5277395248413,914.6838617324829,1062.2371101379395,1188.509922027588,1290.1489639282227,1427.4228286743164,1616.767292022705,1986.07084274292,108.59079845249653,104.55257860943675,102.20229019410908,161.4946609735489,525.2372550964355,1016.3570070266724,1273.6423683166504,1291.0844612121582,1342.861032485962,1443.4842681884766,1627.2722816467285,2015.3792190551758,439.88080382347107,488.0994653701782,508.8170838356018,543.8641929626465,567.078332901001,619.6051406860352,780.6898784637451,1083.788251876831,1419.311170578003,1548.9850616455078,1698.7580299377441,1992.708568572998,289.4505363702774,341.0895335674286,376.9643831253052,573.224048614502,773.9682579040527,981.5434455871582,1140.8555126190186,1239.2927074432373,1296.6221904754639,1399.9765586853027,1522.1742057800293,2147.416877746582,226.62970900535583,241.97903513908386,250.42984247207642,286.8883728981018,368.5973906517029,839.7809267044067,1378.711290359497,1632.5410556793213,1740.5196952819824,1842.9609775543213,1936.2378883361816,2127.2499465942383,342.7743697166443,376.73989057540894,392.5809168815613,428.24652433395386,461.90369844436646,565.0406694412231,916.1437654495239,1408.369665145874,1722.8116035461426,1914.4236183166504,2022.1490859985352,2191.0987663269043
12,454.9755620956421,495.66810846328735,515.0877976417542,597.0832538604736,735.6687879562378,991.7424297332764,1153.8835906982422,1288.6275577545166,1401.5893840789795,1549.4337940216064,1755.6845378875732,2157.4429893493652,108.86525198817253,104.68952722847462,102.4014641623944,168.1074732542038,566.0862255096436,1103.241572380066,1381.068935394287,1399.6399211883545,1455.4646110534668,1565.1518154144287,1765.656442642212,2189.482078552246,476.01818680763245,525.5626177787781,547.2799587249756,584.530873298645,609.8682165145874,667.4728727340698,847.3063373565674,1184.1365814208984,1538.0932235717773,1678.299150466919,1841.5717124938965,2162.918357849121,312.63275921344757,366.72556042671204,404.60103034973145,617.8551912307739,836.1709403991699,1065.5466270446777,1236.209945678711,1343.3339595794678,1410.070219039917,1521.7564105987549,1658.7034511566162,2334.1291427612305,239.91905570030212,255.9536910057068,265.02190709114075,304.42561507225037,394.75563049316406,915.5134201049805,1495.6128978729248,1772.5708198547363,1892.0779514312744,2002.2874450683594,2105.547752380371,2311.101703643799,368.713915348053,403.8008689880371,420.32859802246094,458.3786177635193,495.36821603775024,610.4901885986328,990.7439231872559,1527.813138961792,1875.662088394165,2080.3384399414062,2198.025436401367,2380.565948486328
13,488.98494720458984,530.9265565872192,550.9305024147034,638.768949508667,790.8098363876343,1068.764386177063,1245.6410026550293,1393.4712600708008,1513.0298042297363,1671.4447593688965,1894.9821186065674,2329.008903503418,109.04932031407952,104.82824762351811,102.71766166202724,176.95571660995483,614.2038440704346,1190.1261377334595,1488.4438514709473,1508.1953811645508,1567.9476928710938,1686.8193626403809,1903.9735889434814,2363.4753608703613,512.8696358203888,563.567464351654,586.1185669898987,625.3796768188477,653.1808948516846,715.3406047821045,914.3495845794678,1284.9524307250977,1656.4596843719482,1806.924819946289,1983.769187927246,2332.7299880981445,337.04690992832184,392.3615872859955,432.2376775741577,662.4863338470459,898.0525493621826,1149.5498085021973,1331.5643787384033,1447.3382949829102,1523.5182476043701,1643.813076019287,1795.4261589050293,2520.959873199463,253.56361508369446,269.9283468723297,279.6139717102051,321.9628572463989,421.02171182632446,991.2459135055542,1612.7381324768066,1912.7039051055908,2043.8438892364502,2161.6428756713867,2274.734630584717,2494.805736541748,395.17406463623047,430.8618474006653,448.0762791633606,488.5107111930847,528.832733631134,655.9397077560425,1079.932222366333,1647.3159217834473,2028.5459899902344,2246.2072563171387,2373.50492477417,2569.9251556396484
14,522.9943323135376,566.1627864837646,587.331793308258,681.1231708526611,849.8473167419434,1145.7863426208496,1337.3984146118164,1498.314962387085,1625.0318241119385,1794.0031051635742,2034.6854782104492,2501.0276222229004,109.23338863998652,104.9669680185616,103.03385916166008,185.80395996570587,662.3214626312256,1277.3644399642944,1595.7574939727783,1616.6340637207031,1680.4307746887207,1808.3902263641357,2042.2352695465088,2537.4098587036133,549.7210848331451,601.57231092453,624.9571752548218,666.2284803390503,696.4935731887817,763.3787250518799,981.3928318023682,1386.2884902954102,1774.3624591827393,1934.8323154449463,2125.3418731689453,2501.725368499756,361.4610606431961,418.86594891548157,461.0690212249756,707.1174764633179,959.9341583251953,1233.6367321014404,1426.9969463348389,1551.3177585601807,1637.2179985046387,1766.180019378662,1932.3531246185303,2707.8780937194824,267.2081744670868,284.2154061794281,294.5073425769806,339.5000994205475,447.28779315948486,1067.0807218551636,1739.7057151794434,2052.866039276123,2195.8321380615234,2321.0663890838623,2443.7721633911133,2678.4107208251953,421.8104386329651,458.2862854003906,476.117308139801,518.6428046226501,562.4465417861938,701.3892269134521,1169.1205215454102,1766.8209171295166,2181.4649963378906,2412.0493507385254,2548.7967109680176,2759.200859069824
15,557.6496815681458,601.3990163803101,623.7330842018127,723.3405923843384,909.2825078964233,1222.9242658615112,1429.36936378479,1603.3290195465088,1737.6104927062988,1917.1551418304443,2174.827871322632,2673.2983207702637,109.37033725902438,105.16614198684692,103.35005666129291,194.6522033214569,710.4390811920166,1364.9671697616577,1703.0009651184082,1724.9529266357422,1792.7868461608887,1929.8581790924072,2180.451431274414,2711.287269592285,587.211457490921,639.577157497406,663.7957835197449,707.0772838592529,739.9046850204468,811.4168453216553,1048.9073991775513,1487.6245498657227,1891.7587852478027,2062.002487182617,2266.291151046753,2670.3173828125,387.09708750247955,445.37031054496765,489.90036487579346,753.3826780319214,1021.815767288208,1317.7236557006836,1522.4892139434814,1655.2972221374512,1751.1280727386475,1888.8686084747314,2069.482946395874,2894.9069595336914,281.1828303337097,298.5024654865265,309.4007134437561,357.42000222206116,473.55387449264526,1142.915530204773,1866.8186950683594,2193.013496398926,2348.0180835723877,2480.5763149261475,2612.6483726501465,2862.039203643799,448.87141704559326,485.71072340011597,504.15833711624146,549.0892362594604,596.0603499412537,746.8870496749878,1258.5946369171143,1886.2770080566406,2334.4255447387695,2577.89888381958,2723.9266777038574,2948.4184074401855
16,592.2706317901611,637.2243118286133,660.692925453186,765.5580139160156,968.7176990509033,1300.0621891021729,1521.7408847808838,1708.3437538146973,1850.7729244232178,2040.9027671813965,2314.9702644348145,2845.8348846435547,109.50728587806225,105.36531595513225,103.8406843971461,203.50044667720795,758.8467788696289,1462.0345258712769,1810.244436264038,1833.2717895507812,1905.0121784210205,2051.2203979492188,2318.628034591675,2885.1137733459473,624.7018301486969,678.0314874649048,702.96217918396,748.092303276062,783.3157968521118,859.4549655914307,1116.4219665527344,1589.4871044158936,2008.6159992218018,2188.4272289276123,2406.6246700286865,2838.5194396972656,412.4599128961563,473.0069577693939,518.7317085266113,799.6478796005249,1083.3893013000488,1401.904640197754,1621.1788368225098,1759.3157005310059,1865.1765537261963,2011.853437423706,2206.8097496032715,3082.070941925049,295.15748620033264,313.0945301055908,324.2940843105316,375.33990502357483,504.58678007125854,1218.893756866455,1993.9316749572754,2333.1673431396484,2500.338668823242,2640.3104496002197,2781.367015838623,3045.694160461426,475.93239545822144,513.4584045410156,532.1993660926819,579.6446943283081,630.7475209236145,792.3848724365234,1348.0687522888184,2018.863763809204,2487.436866760254,2743.77290725708,2898.9576721191406,3137.5368309020996
17,627.5068616867065,673.0496072769165,697.6527667045593,807.7754354476929,1028.1528902053833,1377.3254680633545,1614.1124057769775,1813.3584880828857,1963.9353561401367,2165.216588973999,2455.5935764312744,3018.6449432373047,109.64600627310574,105.56448992341757,104.3313121329993,212.34869003295898,807.2544765472412,1559.360270500183,1917.4020767211914,1941.4698886871338,2017.108383178711,2172.4794387817383,2456.8046379089355,3058.8992309570312,662.7066767215729,716.4990305900574,742.1733379364014,789.1073226928711,826.7269086837769,909.8264694213867,1183.9365339279175,1691.8549156188965,2125.473213195801,2314.108600616455,2546.3559532165527,3006.351490020752,437.82273828983307,500.6436049938202,548.9193391799927,845.9130811691284,1149.192795753479,1486.0856246948242,1719.9689769744873,1863.456802368164,1979.2250347137451,2134.8382663726807,2344.325885772705,3269.5657348632812,309.13214206695557,327.68659472465515,339.47965145111084,393.3976447582245,535.6196856498718,1294.8719835281372,2121.1737728118896,2478.091869354248,2652.7085494995117,2800.192470550537,2949.8480224609375,3229.350109100342,502.9933738708496,541.2060856819153,560.5804014205933,610.2001523971558,665.4346919059753,837.8826951980591,1437.8571796417236,2151.4505195617676,2640.5074787139893,2909.6653366088867,3073.97029876709,3326.5976333618164
18,662.743091583252,708.8749027252197,734.4665265083313,849.9928569793701,1087.889313697815,1454.5887470245361,1707.072925567627,1918.239803314209,2077.6556968688965,2289.5304107666016,2596.7445755004883,3191.7260932922363,109.78472666814923,105.8806874230504,104.8219398688525,224.09534335136414,855.6621742248535,1656.6860151290894,2024.453477859497,2049.5501136779785,2129.2045879364014,2293.738479614258,2594.944953918457,3232.65230178833,700.7115232944489,755.3646230697632,781.3844966888428,830.1223421096802,870.270938873291,960.1979732513428,1251.9730281829834,1794.2227268218994,2241.7703533172607,2439.789972305298,2685.5014514923096,3181.6383934020996,464.32709991931915,528.2802522182465,578.6627840995789,891.6409778594971,1214.8292112350464,1570.3523921966553,1818.7591171264648,1967.5979042053223,2093.3460998535156,2258.072395324707,2482.0266342163086,3457.253894805908,323.41920137405396,342.2786593437195,354.66521859169006,411.45538449287415,566.7547082901001,1371.0739469528198,2248.5470581054688,2623.052558898926,2805.058546066284,2960.2241134643555,3118.2498359680176,3412.9317665100098,530.417811870575,569.0183877944946,588.9614367485046,640.7556104660034,700.1218628883362,883.3947086334229,1527.9724788665771,2283.9938259124756,2793.629913330078,3075.565891265869,3249.022922515869,3515.5773735046387
19,697.9793214797974,745.1214408874512,771.8276691436768,892.1545839309692,1147.6257371902466,1535.1531314849854,1800.0334453582764,2022.9994297027588,2191.887788772583,2414.38045501709,2738.465099334717,3365.0826454162598,109.98390063643456,106.19688492268324,105.54363335482776,235.8419966697693,904.302487373352,1754.2762613296509,2131.5048789978027,2157.520627975464,2241.1796951293945,2414.9019622802734,2733.050127029419,3406.3795852661133,738.7299692630768,794.230215549469,820.8961296081543,871.4900255203247,913.8149690628052,1010.5694770812988,1320.0095224380493,1897.0787715911865,2357.497720718384,2571.2887001037598,2824.0801525115967,3356.6318893432617,490.83146154880524,556.6774690151215,608.406229019165,937.3688745498657,1280.4656267166138,1654.6191596984863,1917.6184940338135,2074.478225708008,2207.517614364624,2381.5097999572754,2619.9102687835693,3645.1565551757812,337.70626068115234,357.172030210495,369.8507857322693,429.5131242275238,597.8897309303284,1447.2759103775024,2376.087522506714,2768.0132484436035,2957.366199493408,3120.366897583008,3286.6159057617188,3596.435012817383,557.9084634780884,597.1245813369751,617.342472076416,671.3110685348511,734.9283194541931,928.9067220687866,1618.0877780914307,2416.465377807617,2946.7926692962646,3241.487350463867,3424.2383003234863,3704.44278717041
20,733.6436748504639,781.3679790496826,809.1888117790222,935.1146030426025,1207.504415512085,1615.7175159454346,1893.6842823028564,2127.7590560913086,2306.5785121917725,2539.764003753662,2880.7833671569824,3538.719882965088,110.18307460471988,106.51308242231607,106.26532684080303,247.58810877799988,952.9428005218506,1852.1484327316284,2238.4299182891846,2265.491142272949,2353.0462074279785,2535.983781814575,2871.12154006958,3580.1074409484863,777.1975123882294,833.0958080291748,860.4077625274658,912.8577089309692,957.3589992523193,1061.2755727767944,1388.7005138397217,2000.4047966003418,2472.6574516296387,2702.117099761963,2962.113456726074,3531.354351043701,518.4681087732315,585.0746858119965,639.753303527832,983.0967712402344,1345.9417915344238,1738.9587688446045,2016.5562438964844,2181.547689437866,2321.7668437957764,2505.122661590576,2757.79390335083,3833.302936553955,352.2983253002167,372.0654010772705,385.3167426586151,447.57086396217346,629.0247535705566,1523.7852191925049,2503.8357830047607,2913.015775680542,3109.659194946289,3280.5636024475098,3455.0065994262695,3779.839744567871,585.7207655906677,625.2307748794556,645.9893774986267,702.1982526779175,769.73477602005,981.2440633773804,1708.529462814331,2548.9070892333984,3100.0062084198,3407.427520751953,3599.5454597473145,3893.0297470092773
