,real,stable,neutstab,logT,low_step,high_step,Times
0,34.77954410601266,35.9933964596519,38.31125148338607,39.780132515822785,37.9506230221519,39.04811857199367,2000-01-01 01:00:00
1,-233.17268840613966,39.084320403337856,75.26931552891469,129.02219130186793,76.78974914079335,27.307811052653598,2000-01-01 01:05:00
2,-263.6609296743218,-39.105403017506575,173.5670689623009,151.63872218841038,-35.91826743669896,101.20792299172003,2000-01-01 01:10:00
3,329.4102129189144,96.17591094818543,122.08224182569876,191.96410702790075,83.88144166374477,39.47349150507691,2000-01-01 01:15:00
4,68.51858391079588,68.07824062282606,168.93546623093775,256.56348424577544,199.89785809703807,139.51506380690108,2000-01-01 01:20:00
5,627.3644793323253,-158.57481971856092,224.80922084215692,271.73848407441807,113.32193020198523,78.00828496849441,2000-01-01 01:25:00
6,240.97867433757628,-312.13557215129896,348.8928723663709,287.10181236452655,-235.24231950055074,-100.54286055829954,2000-01-01 01:30:00
7,-64.91025210258395,-93.92714376974072,-236.61301929376927,249.63834803000373,-269.5775116756989,-587.5402048513618,2000-01-01 01:35:00
8,471.1596401382909,9.704636623028197,258.12676731306624,281.43136537814615,-319.6028758100433,68.7857039844985,2000-01-01 01:40:00
9,167.57454730831682,-187.88699427523608,0.22651870950388012,324.54408612657596,-268.2876317238696,183.68094612003208,2000-01-01 01:45:00
10,101.57961159276884,-123.85191745858586,-68.05667750721683,397.4563819769704,-225.2216159903643,325.26759324585225,2000-01-01 01:50:00
11,286.1596449421458,-136.22290268997625,-2.432933548156399,466.48362300782134,54.13144809485482,275.50323065489357,2000-01-01 01:55:00
12,265.9149341050919,-311.3636765920666,200.25113274942797,558.6374915322955,-252.75162299074677,17.767543739458862,2000-01-01 02:00:00
13,325.74351286442555,-247.84409220707423,98.69369397580797,351.150396606121,-79.35532653146365,-189.98153018158024,2000-01-01 02:05:00
14,122.74668635871608,-425.0481544904813,130.1419974205376,304.3855893946863,-433.82185530921583,-86.62173569048565,2000-01-01 02:10:00
15,317.27029697845734,-383.55521991010556,-142.0834834790467,-41.53958729352756,-459.86226554492504,-246.07449304517672,2000-01-01 02:15:00
16,350.15707231292083,-465.73678661980415,-412.58032860167725,-144.03798332987537,-437.84593272139017,-191.06855066471275,2000-01-01 02:20:00
17,524.9161543398083,-318.01360644862126,-342.9617359278231,-147.2032716319163,-537.2352510677064,-325.6347539724903,2000-01-01 02:25:00
18,688.034397167343,-418.7167998368069,-466.1518788133539,65.048284069617,-298.9374489111202,-262.9640157563227,2000-01-01 02:30:00
19,785.2423850057148,-366.773095620376,111.69165557018108,320.2607836538304,-562.7152884966555,-35.359997140587275,2000-01-01 02:35:00
20,888.0956258345602,-456.0880586135549,243.3039053131698,370.50202253643937,-269.6917677918139,-24.436817518318968,2000-01-01 02:40:00
21,555.1982421945347,-357.52650876449565,218.13391251183054,258.7455989384913,-360.3424168331686,-332.9597927267,2000-01-01 02:45:00
22,644.7921622246922,-230.20683449669573,171.01925052516305,367.70363176601285,-219.2587540290044,-26.14366391415388,2000-01-01 02:50:00
23,793.55947247114,-173.16575608404054,49.616010790645184,396.3007888361462,-15.937894703435385,-142.18785995624665,2000-01-01 02:55:00
24,941.4664563804023,-215.50028676559631,-59.53735402877313,245.65231731343144,-166.15876556870774,-137.34448501073277,2000-01-01 03:00:00
25,990.122604950633,-304.9503787102181,40.221631512391085,392.3157317825808,-72.5198499539497,14.812934378915537,2000-01-01 03:05:00
26,934.9113997015205,-456.22161266873144,-34.18082659480809,489.93086836232993,-147.02796931994612,89.06023765090778,2000-01-01 03:10:00
27,530.6454501960335,-351.7791752205304,-414.8805807871894,303.50209301660203,39.42158343429137,-115.62954668194863,2000-01-01 03:15:00
28,462.65269112431383,-258.1393045407715,-530.7107129282363,313.36778164905957,48.88592750858467,-143.04481512300381,2000-01-01 03:20:00
29,419.47562089245076,-91.71225784539634,-512.456159132446,403.2853450854564,54.53736520758073,-100.03741117510269,2000-01-01 03:25:00
30,369.7828229691144,-179.28764142240573,-128.41675744237244,486.30324929031076,293.9937634359476,-107.24945772411837,2000-01-01 03:30:00
31,693.8573826772,-158.3392539119046,6.1899598518950025,289.2941112325358,70.48267851909114,-40.89545823061973,2000-01-01 03:35:00
32,830.9142482483641,-181.34405006389267,75.56334007653238,-221.84782713893682,-47.40963533753576,131.72404360016654,2000-01-01 03:40:00
33,772.3386990048625,-203.50396587458138,343.74281681323237,-243.7671147957099,70.52692511259808,181.99056246107622,2000-01-01 03:45:00
34,546.2485451921925,-152.9791416802591,-66.27853894939825,-159.73743435001077,-55.03669316206699,111.61516215215876,2000-01-01 03:50:00
35,333.96688400772894,-156.44125137835988,-261.41552263841396,-230.9210996913246,94.9444709147799,-94.56589288560887,2000-01-01 03:55:00
36,224.56912369818573,-155.20629214997842,-207.19058006403455,128.02876880010533,5.736380315775984,49.92265667269376,2000-01-01 04:00:00
37,585.3642792330206,-107.22374747912848,-269.859287279966,149.76572745001062,109.7781120684431,-149.65976362770547,2000-01-01 04:05:00
38,765.8403684108216,9.337407079343597,-296.2773123236162,-204.07626602030896,-35.92117749166524,-27.569025271073833,2000-01-01 04:10:00
39,848.6174277851173,84.04911918753706,-441.144296967307,-379.7409124905789,-62.88090542084456,-132.84938859542743,2000-01-01 04:15:00
40,454.27738717447295,108.04608344291006,-365.33230298596516,-455.9465689616944,-240.97043719932842,-173.4457950502486,2000-01-01 04:20:00
41,328.8735220813185,47.81757456406782,-316.843460855574,-544.5961013846238,-8.401303814383146,-281.4773884961267,2000-01-01 04:25:00
42,573.9072637954243,7.440229627943675,-241.07172870512383,-102.33522835958284,225.29669232321572,-101.08951409466691,2000-01-01 04:30:00
43,383.5217612185276,-17.85085254635915,-118.21741798301908,-436.4520530163834,-106.9634018768068,45.075519063829105,2000-01-01 04:35:00
44,20.165954591672254,5.121451679644155,-197.47468139824304,8.879241261682253,-654.3248946680357,12.052563243904254,2000-01-01 04:40:00
45,-76.62927057107738,-20.077333118129474,-279.28535742561144,246.55140909581954,-216.12598308168512,-55.57674386373125,2000-01-01 04:45:00
