,real,stable,neutstab,logT,low_step,high_step,Times
21,-5.996749030577741e-07,2.254838691845214e-06,-2.6652054381158935e-06,-9.528358567664165e-07,1.7050898322073015e-06,2.97754584412187e-06,2000-01-01 02:45:00
22,-3.906742843274871e-06,3.218621495301405e-06,3.949628128943511e-06,1.6316904535254056e-06,4.692426973863953e-06,7.3814127779746455e-06,2000-01-01 02:50:00
23,-5.67876141194344e-06,4.175295661401764e-06,2.1181945062898755e-06,-3.947471666350206e-06,6.938179611880296e-06,2.469926479551748e-06,2000-01-01 02:55:00
24,-3.610369426381492e-06,3.4001407095297798e-06,1.2973853989058603e-06,-5.619352019562893e-06,5.527153566214986e-06,3.4966429260564355e-06,2000-01-01 03:00:00
25,-1.3556170545057342e-06,4.7325280821162705e-07,1.8933977701094647e-06,-4.662799396780279e-06,1.5818414144460009e-06,3.08438251726951e-06,2000-01-01 03:05:00
26,-3.271400868603059e-06,-1.870948038611206e-06,-4.873988455995148e-07,-1.337726007765428e-06,4.317266970408323e-06,-1.0207425947544234e-06,2000-01-01 03:10:00
27,-3.1913504296391716e-06,-1.9469271810982107e-06,-2.101509259854181e-06,8.872547057970083e-07,1.2583697574698335e-06,-6.003203549558356e-06,2000-01-01 03:15:00
28,-3.55642694995379e-07,-1.931982935758829e-06,8.565248142272312e-07,3.2506760961248664e-06,1.308748938132754e-06,-6.149874292808633e-07,2000-01-01 03:20:00
29,3.545841480422208e-06,-7.304687992012687e-07,-6.057461773765036e-07,-1.5313577840728758e-07,-9.202193923498917e-07,-8.226665029355842e-07,2000-01-01 03:25:00
30,1.1947998073198123e-06,-2.0950187683434085e-06,1.8944581125663405e-06,6.714648096229072e-07,2.9296396964058705e-06,-9.589966309402118e-07,2000-01-01 03:30:00
31,1.110332923532571e-06,-1.6700000270259496e-06,-6.049448978656879e-07,1.8788139618376176e-06,4.112940702345694e-06,2.5682532752766804e-06,2000-01-01 03:35:00
32,7.873958548782557e-07,-2.1926884240696656e-06,-2.879331116708249e-06,1.7045877910599693e-06,4.864318729624192e-06,-1.7292226679089685e-07,2000-01-01 03:40:00
33,7.59782122696389e-08,-2.983709759686048e-06,-2.136306066640367e-06,6.126119038941121e-06,-3.970810603623017e-07,-2.692174621835898e-06,2000-01-01 03:45:00
34,-6.262560236215985e-06,-3.0116999035191288e-06,-2.8257577381265047e-06,1.0278999708376271e-05,6.458440801205004e-06,8.506946633593842e-07,2000-01-01 03:50:00
35,-7.514333307731652e-06,-4.145111154374015e-06,-2.100250428237457e-06,9.919481360583044e-06,1.252183188004397e-06,-1.3228437062106065e-06,2000-01-01 03:55:00
36,-9.016242369444293e-06,-3.2912103823128987e-06,5.78310257913449e-06,1.0310929599055974e-05,2.8715665451537588e-06,-3.891233823599612e-07,2000-01-01 04:00:00
37,-6.005912526441396e-06,-1.2520002414182468e-06,3.046645319437066e-06,7.888087459176387e-06,4.516958226097042e-06,-1.1928840407724658e-09,2000-01-01 04:05:00
38,-4.454887335622849e-06,-1.530353256384842e-06,3.833713503521307e-06,1.03712155431465e-06,1.4130843254274106e-06,-1.1057298355739523e-06,2000-01-01 04:10:00
39,-2.1787950232994516e-06,-1.3994304202276885e-06,1.0418632413509127e-06,-5.609353208651728e-06,-1.0843424882906116e-06,-6.301538943964399e-07,2000-01-01 04:15:00
40,-4.167175673420746e-06,1.0925044560718572e-06,2.9278370606380694e-07,-9.26096519511311e-06,3.628081408293573e-06,-1.528493750719221e-07,2000-01-01 04:20:00
41,1.681515365667513e-06,-1.7697672721848752e-07,-2.8024495281034097e-06,-7.652908208933983e-06,4.444925496822571e-06,5.046519223884113e-07,2000-01-01 04:25:00
42,5.502873513181885e-06,-1.8357446177543362e-06,-2.2891800141868645e-06,-2.8751038256284773e-06,4.059835722889343e-06,2.8548397443080806e-06,2000-01-01 04:30:00
43,2.9915327633969794e-06,-4.983839179762002e-06,-1.567290528155469e-06,-2.4081121432860942e-06,1.7232495605916297e-06,1.7964942148692104e-06,2000-01-01 04:35:00
44,2.3016783985969847e-06,-8.281222747001853e-06,1.2703869443508735e-06,1.868020717665786e-06,-2.228732369709362e-06,1.1015786654591272e-06,2000-01-01 04:40:00
45,4.2374197293979763e-07,-8.825120487385959e-06,7.128514920899576e-07,-2.465432545491988e-06,1.6650746696932747e-06,-6.926441292768077e-07,2000-01-01 04:45:00
46,-8.979906293530756e-07,-8.251177063403367e-06,1.59404241567475e-06,1.994762952344439e-06,-4.492173249235736e-07,-2.3837929090197714e-06,2000-01-01 04:50:00
47,-1.0529428597888173e-06,-8.362778065975939e-06,3.8105771792184967e-06,-2.0197086464174358e-06,6.165594225168679e-07,-2.9368010208473386e-06,2000-01-01 04:55:00
48,3.960753658155894e-06,-5.969015364826191e-06,4.660135981840206e-06,-8.830462588142652e-07,-4.075434462490043e-06,-2.986227973221355e-07,2000-01-01 05:00:00
